phase mean FPC1 FPC2 FPC3 FPC4
0.4 0.00325 0.002476 0.000601 -0.002715 -7.5e-05
0.5 0.0041 0.00261 0.000786 -0.003325 0.000114
0.6 0.004949 0.002805 0.001077 -0.003745 0.000383
0.7 0.005799 0.003067 0.001487 -0.003951 0.000742
0.8 0.006648 0.003329 0.001897 -0.004158 0.001101
0.9 0.007498 0.00365 0.00241 -0.004179 0.001537
1 0.009011 0.00404 0.003045 -0.003982 0.002065
1.1 0.010591 0.00443 0.00368 -0.003784 0.002594
1.2 0.012171 0.004877 0.004415 -0.003407 0.003197
1.3 0.013751 0.005395 0.005275 -0.002805 0.003895
1.4 0.015331 0.005913 0.006135 -0.002203 0.004593
1.5 0.016911 0.006486 0.007092 -0.001428 0.005363
1.6 0.019109 0.007132 0.008177 -0.000422 0.00623
1.7 0.021418 0.007779 0.009262 0.000584 0.007098
1.8 0.023727 0.008477 0.01044 0.001752 0.008036
1.9 0.026035 0.00925 0.011749 0.00315 0.009076
2 0.028344 0.010023 0.013058 0.004548 0.010115
2.1 0.030653 0.010829 0.014446 0.005957 0.011254
2.2 0.033495 0.011686 0.015951 0.007385 0.012544
2.3 0.036481 0.012543 0.017456 0.008812 0.013833
2.4 0.039467 0.013424 0.01903 0.010182 0.015232
2.5 0.042454 0.014344 0.020717 0.01146 0.016809
2.6 0.04544 0.015263 0.022404 0.012738 0.018386
2.7 0.048426 0.016206 0.024157 0.013961 0.020069
2.8 0.051887 0.017189 0.026026 0.01509 0.021934
2.9 0.055525 0.018171 0.027894 0.016218 0.023799
3 0.059164 0.019176 0.029826 0.017294 0.025765
3.1 0.062803 0.020221 0.031876 0.018273 0.027918
3.2 0.066442 0.021267 0.033927 0.019252 0.030071
3.3 0.07008 0.022333 0.036038 0.02018 0.032321
3.4 0.074154 0.023441 0.03827 0.021009 0.034762
3.5 0.078446 0.02455 0.040501 0.021839 0.037202
3.6 0.082738 0.025678 0.042792 0.02262 0.039736
3.7 0.08703 0.026849 0.045205 0.0233 0.042464
3.8 0.091322 0.02802 0.047618 0.02398 0.045193
3.9 0.095614 0.029211 0.050088 0.024614 0.04801
4 0.100301 0.030444 0.052683 0.025144 0.051026
4.1 0.105245 0.031678 0.055278 0.025675 0.054043
4.2 0.11019 0.032931 0.057926 0.026162 0.057143
4.3 0.115134 0.034227 0.060703 0.026543 0.060447
4.4 0.120078 0.035524 0.063479 0.026923 0.063752
4.5 0.125023 0.036838 0.066306 0.027263 0.067135
4.6 0.130323 0.038198 0.069265 0.027494 0.070728
4.7 0.13592 0.039558 0.072223 0.027726 0.07432
4.8 0.141517 0.040934 0.075229 0.027918 0.077987
4.9 0.147113 0.042356 0.07837 0.028 0.081867
5 0.15271 0.043779 0.08151 0.028082 0.085747
5.1 0.158307 0.045217 0.084695 0.028127 0.089698
5.2 0.16422 0.046702 0.088017 0.028059 0.093866
5.3 0.17047 0.048187 0.091339 0.027992 0.098035
5.4 0.176719 0.049687 0.094703 0.027889 0.102269
5.5 0.182969 0.051235 0.098206 0.027672 0.106725
5.6 0.189218 0.052784 0.10171 0.027455 0.111181
5.7 0.195468 0.054345 0.105253 0.027205 0.115699
5.8 0.201964 0.055956 0.108938 0.026839 0.120443
5.9 0.208794 0.057567 0.112623 0.026472 0.125186
6 0.215625 0.059183 0.11631 0.026087 0.129917
6.1 0.222456 0.060817 0.120003 0.025631 0.134596
6.2 0.229287 0.062452 0.123697 0.025174 0.139275
6.3 0.236117 0.064081 0.127351 0.024715 0.143859
6.4 0.243054 0.065687 0.13083 0.024245 0.148021
6.5 0.250177 0.067294 0.13431 0.023775 0.152184
6.6 0.257299 0.068895 0.137752 0.023303 0.156258
6.7 0.264422 0.070474 0.141016 0.022821 0.159902
6.8 0.271544 0.072053 0.144281 0.022338 0.163545
6.9 0.278667 0.073627 0.147511 0.021853 0.167108
7 0.285868 0.075177 0.15056 0.021358 0.170232
7.1 0.29325 0.076728 0.153609 0.020862 0.173357
7.2 0.300633 0.078275 0.156627 0.020365 0.176408
7.3 0.308015 0.079797 0.159461 0.019856 0.179014
7.4 0.315397 0.08132 0.162294 0.019348 0.181619
7.5 0.32278 0.082839 0.1651 0.018838 0.18416
7.6 0.330225 0.084334 0.167718 0.018316 0.186246
7.7 0.337867 0.085828 0.170337 0.017795 0.188332
7.8 0.345509 0.08732 0.172931 0.017272 0.190361
7.9 0.353151 0.088786 0.175334 0.016738 0.191928
8 0.360794 0.090253 0.177736 0.016204 0.193496
8.1 0.368436 0.091717 0.180118 0.015668 0.195013
8.2 0.376125 0.093156 0.182306 0.015121 0.196062
8.3 0.384027 0.094594 0.184493 0.014574 0.19711
8.4 0.391929 0.096031 0.186663 0.014026 0.198116
8.5 0.399831 0.097442 0.188635 0.013466 0.198645
8.6 0.407733 0.098852 0.190607 0.012906 0.199175
