phase mean FPC1 FPC2 FPC3 FPC4
0.3 -0.001027 0.001761 0.004209 0.002747 0.005756
0.4 -0.000157 0.001666 0.003938 0.002366 0.006679
0.5 0.000733 0.001572 0.003668 0.001985 0.007601
0.6 0.001624 0.001478 0.003432 0.001708 0.00852
0.7 0.002515 0.001385 0.003235 0.001546 0.009434
0.8 0.003405 0.001293 0.003039 0.001384 0.010348
0.9 0.004296 0.001202 0.002876 0.001322 0.011258
1 0.005797 0.001112 0.002754 0.001379 0.012163
1.1 0.00736 0.001022 0.002631 0.001436 0.013069
1.2 0.008923 0.000933 0.002541 0.00159 0.01397
1.3 0.010485 0.000846 0.002493 0.001866 0.014867
1.4 0.012048 0.000759 0.002444 0.002142 0.015764
1.5 0.01361 0.000673 0.002428 0.002511 0.016657
1.6 0.015736 0.000588 0.002453 0.003006 0.017546
1.7 0.017963 0.000503 0.002479 0.003501 0.018434
1.8 0.020189 0.00042 0.002534 0.004084 0.01932
1.9 0.022416 0.000338 0.002633 0.004791 0.020202
2 0.024643 0.000256 0.002732 0.005499 0.021084
2.1 0.026869 0.000183 0.002849 0.00622 0.021987
2.2 0.029416 0.000123 0.002993 0.006962 0.022924
2.3 0.032049 6.2e-05 0.003138 0.007703 0.023861
2.4 0.034682 1.3e-05 0.003295 0.008424 0.02483
2.5 0.037315 -1.7e-05 0.003472 0.009112 0.025852
2.6 0.039948 -4.8e-05 0.003649 0.0098 0.026874
2.7 0.042581 -6.7e-05 0.003838 0.010467 0.027927
2.8 0.045419 -6.8e-05 0.004047 0.011101 0.029034
2.9 0.048333 -6.8e-05 0.004257 0.011734 0.030141
3 0.051246 -5.8e-05 0.004478 0.012349 0.031278
3.1 0.05416 -2.9e-05 0.00472 0.012928 0.03247
3.2 0.057074 0 0.004962 0.013508 0.033662
3.3 0.059988 4e-05 0.005215 0.014069 0.034883
3.4 0.06309 9.9e-05 0.005489 0.014594 0.03616
3.5 0.066285 0.000159 0.005764 0.015119 0.037437
3.6 0.06948 0.000228 0.006048 0.015627 0.038742
3.7 0.072675 0.000317 0.006355 0.016098 0.040104
3.8 0.07587 0.000406 0.006662 0.01657 0.041466
3.9 0.079066 0.000505 0.006979 0.017024 0.042854
4 0.082431 0.000624 0.007319 0.017441 0.044302
4.1 0.085907 0.000743 0.007658 0.017858 0.045749
4.2 0.089383 0.000871 0.008007 0.01826 0.047221
4.3 0.092859 0.001021 0.008379 0.018623 0.048754
4.4 0.096335 0.00117 0.008751 0.018986 0.050286
4.5 0.099811 0.001328 0.009132 0.019334 0.051842
