PIDX,ObjName,RPhase,MJD_OBS,MAG,eMAG,Passband,Instrument,Contributing_Group,Reference,Filename,Comments
4275,SN2002bo,-1.5036246315569597,52355.19,13.69,0.041,V(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
4276,SN2002bo,1.5434557476329467,52358.25,13.634,0.01,V(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
4277,SN2002bo,4.60049390584185,52361.32,13.707,0.019,V(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
4278,SN2002bo,5.695849597706887,52362.42,13.704,0.011,V(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
4279,SN2002bo,6.4924719190672295,52363.22,13.739,0.01,V(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
4280,SN2002bo,7.498207599783032,52364.23,13.772,0.01,V(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
4281,SN2002bo,8.48402772246084,52365.22,13.83,0.01,V(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
4282,SN2002bo,9.489763403176642,52366.23,13.852,0.011,V(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
4283,SN2002bo,11.580896996738485,52368.33,14.009,0.01,V(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
4284,SN2002bo,13.50274834701361,52370.26,14.158,0.013,V(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
4285,SN2002bo,15.474388592369227,52372.24,14.268,0.013,V(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
4286,SN2002bo,19.4375846411257,52376.22,14.467,0.01,V(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
4287,SN2002bo,26.40802995300334,52383.22,14.813,0.011,V(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
4288,SN2002bo,32.35282402613443,52389.19,15.283,0.032,V(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
4289,SN2002bo,35.38994662630534,52392.24,15.426,0.018,V(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
4290,SN2002bo,39.303353779974074,52396.17,15.582,0.014,V(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
4291,SN2002bo,42.29068748506449,52399.17,15.687,0.011,V(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
