phase mean FPC1 FPC2 FPC3 FPC4
-0.1 0.00658 -0.001117 -0.01098 -0.004722 0.016172
0 0.006434 -0.001204 -0.010174 -0.004313 0.016254
0.1 0.006288 -0.001258 -0.009284 -0.003955 0.016268
0.2 0.006141 -0.001311 -0.008395 -0.003597 0.016282
0.3 0.005995 -0.00133 -0.007425 -0.003288 0.01623
0.4 0.006316 -0.001315 -0.006369 -0.003031 0.016107
0.5 0.006651 -0.0013 -0.005313 -0.002775 0.015984
0.6 0.006986 -0.001252 -0.004178 -0.002567 0.015796
0.7 0.007321 -0.001168 -0.002955 -0.002412 0.015536
0.8 0.007656 -0.001084 -0.001733 -0.002257 0.015276
0.9 0.007991 -0.000969 -0.000434 -0.002149 0.014954
1 0.008764 -0.000817 0.000956 -0.002095 0.014557
1.1 0.009581 -0.000665 0.002345 -0.002042 0.01416
1.2 0.010397 -0.000483 0.003809 -0.002034 0.013702
1.3 0.011214 -0.000262 0.005365 -0.002083 0.013168
1.4 0.01203 -4.2e-05 0.006921 -0.002131 0.012634
1.5 0.012847 0.000208 0.008549 -0.002223 0.012042
1.6 0.014076 0.000497 0.010272 -0.002373 0.011371
1.7 0.015379 0.000786 0.011995 -0.002524 0.0107
1.8 0.016683 0.001103 0.013784 -0.002713 0.009976
1.9 0.017986 0.001459 0.015668 -0.002959 0.009178
2 0.019289 0.001816 0.017553 -0.003205 0.008379
2.1 0.020592 0.002189 0.019439 -0.003424 0.007639
2.2 0.022409 0.002589 0.02133 -0.003601 0.006985
2.3 0.024365 0.002988 0.02322 -0.003778 0.006332
2.4 0.02632 0.0034 0.025083 -0.003897 0.005786
2.5 0.028276 0.003831 0.026902 -0.003923 0.005413
2.6 0.030231 0.004261 0.028721 -0.003949 0.005039
2.7 0.032187 0.004703 0.030514 -0.003919 0.004769
2.8 0.034676 0.005165 0.032263 -0.003794 0.004676
2.9 0.037365 0.005627 0.034011 -0.003669 0.004583
3 0.040054 0.0061 0.035734 -0.003491 0.004588
3.1 0.042743 0.006593 0.037411 -0.003215 0.004775
3.2 0.045432 0.007085 0.039088 -0.002939 0.004962
3.3 0.048121 0.007589 0.040742 -0.002613 0.005243
3.4 0.051299 0.008113 0.042348 -0.002186 0.00571
3.5 0.054722 0.008637 0.043954 -0.001759 0.006176
3.6 0.058145 0.009171 0.045537 -0.001284 0.006733
3.7 0.061568 0.009726 0.047072 -0.000706 0.00748
3.8 0.06499 0.010281 0.048608 -0.000128 0.008227
3.9 0.068413 0.010845 0.050121 0.000496 0.00906
4 0.072281 0.011432 0.051585 0.001224 0.010087
4.1 0.076437 0.012018 0.053049 0.001953 0.011114
4.2 0.080593 0.012613 0.054493 0.002725 0.012222
4.3 0.084749 0.01323 0.055886 0.003605 0.013529
4.4 0.088906 0.013847 0.057279 0.004484 0.014836
4.5 0.093062 0.014473 0.058653 0.005406 0.01622
4.6 0.097618 0.015121 0.059975 0.006436 0.017807
4.7 0.102508 0.01577 0.061297 0.007466 0.019394
4.8 0.107397 0.016426 0.062601 0.008536 0.021054
4.9 0.112287 0.017106 0.063852 0.009717 0.022921
5 0.117176 0.017785 0.065103 0.010899 0.024788
5.1 0.122066 0.018472 0.066337 0.012117 0.026724
5.2 0.127311 0.019183 0.067517 0.01345 0.028872
5.3 0.132934 0.019893 0.068697 0.014782 0.031019
5.4 0.138557 0.020611 0.069861 0.016149 0.033231
5.5 0.14418 0.021353 0.07097 0.017632 0.035658
5.6 0.149802 0.022094 0.072079 0.019115 0.038085
5.7 0.155425 0.022842 0.073173 0.020631 0.040573
5.8 0.161309 0.023615 0.074211 0.022265 0.04328
5.9 0.167548 0.024388 0.075249 0.023899 0.045987
6 0.173786 0.025161 0.076277 0.025511 0.048729
6.1 0.180025 0.025934 0.077266 0.027039 0.051606
6.2 0.186263 0.026707 0.078254 0.028567 0.054483
6.3 0.192501 0.027472 0.079238 0.030014 0.057365
6.4 0.198789 0.028206 0.080204 0.031106 0.060271
6.5 0.205164 0.02894 0.08117 0.032197 0.063177
6.6 0.211538 0.029668 0.082133 0.033214 0.066088
6.7 0.217913 0.030363 0.083077 0.033868 0.069021
6.8 0.224287 0.031057 0.084021 0.034522 0.071955
6.9 0.230661 0.031746 0.084961 0.035108 0.074893
7 0.237061 0.032401 0.085883 0.035323 0.077855
7.1 0.243519 0.033057 0.086804 0.035539 0.080816
7.2 0.249977 0.033707 0.087723 0.035694 0.083782
7.3 0.256434 0.034323 0.088623 0.035471 0.086771
7.4 0.262892 0.034939 0.089522 0.035249 0.089761
7.5 0.26935 0.035551 0.090419 0.034972 0.092754
7.6 0.275828 0.036128 0.091296 0.034312 0.095771
7.7 0.282369 0.036705 0.092174 0.033652 0.098789
7.8 0.28891 0.037277 0.093048 0.032944 0.101809
7.9 0.295451 0.037815 0.093904 0.031846 0.104855
8 0.301992 0.038353 0.094759 0.030748 0.1079
8.1 0.308533 0.038887 0.095612 0.029608 0.110948
8.2 0.31509 0.039385 0.096445 0.028073 0.114021
8.3 0.321714 0.039884 0.097278 0.026537 0.117094
8.4 0.328338 0.040379 0.098109 0.024966 0.12017
8.5 0.334963 0.040838 0.09892 0.022992 0.123271
8.6 0.341587 0.041297 0.099731 0.021018 0.126372
8.7 0.348212 0.041754 0.10054 0.019016 0.129475
8.8 0.354846 0.042174 0.101328 0.016604 0.132604
8.9 0.361554 0.042594 0.102117 0.014193 0.135733
9 0.368261 0.043012 0.102905 0.011759 0.138863
9.1 0.374969 0.043393 0.103671 0.008909 0.14202
9.2 0.381677 0.043773 0.104437 0.00606 0.145177
9.3 0.388385 0.044153 0.105203 0.003195 0.148335
9.4 0.395097 0.044494 0.105947 -9.3e-05 0.151519
9.5 0.401888 0.044836 0.106691 -0.00338 0.154704
9.6 0.408679 0.045176 0.107435 -0.006677 0.157889
9.7 0.41547 0.045478 0.108157 -0.010402 0.161102
9.8 0.422261 0.045781 0.108879 -0.014128 0.164315
9.9 0.429052 0.046083 0.109601 -0.017855 0.167527
10 0.435843 0.046361 0.110313 -0.021909 0.170662
10.1 0.442355 0.04664 0.111025 -0.025964 0.173797
10.2 0.448866 0.046918 0.111738 -0.030019 0.176932
10.3 0.455378 0.047221 0.112478 -0.034062 0.179661
10.4 0.461889 0.047525 0.113219 -0.038105 0.182386
10.5 0.468401 0.047829 0.11396 -0.042148 0.185111
10.6 0.474912 0.048161 0.114732 -0.046151 0.187409
10.7 0.480821 0.048494 0.115505 -0.050153 0.189696
10.8 0.486691 0.048827 0.116278 -0.054155 0.191983
10.9 0.49256 0.049189 0.117082 -0.058118 0.19385
11 0.49843 0.049551 0.117887 -0.06208 0.195699
11.1 0.5043 0.049914 0.118692 -0.066041 0.197548
11.2 0.51017 0.050304 0.119528 -0.069964 0.198984
11.3 0.515475 0.050696 0.120365 -0.073885 0.200395
11.4 0.520703 0.051088 0.121202 -0.077805 0.201807
11.5 0.525931 0.051507 0.122069 -0.081688 0.202811
11.6 0.531159 0.051928 0.122938 -0.085568 0.203784
11.7 0.536387 0.052349 0.123807 -0.089448 0.204758
11.8 0.541615 0.052797 0.124706 -0.093291 0.205331
11.9 0.546318 0.053248 0.125607 -0.09713 0.205866
12 0.550904 0.053698 0.126508 -0.100969 0.206402
12.1 0.55549 0.054175 0.127438 -0.104772 0.206544
12.2 0.560076 0.054655 0.128371 -0.10857 0.206641
12.3 0.564662 0.055135 0.129305 -0.112369 0.206739
12.4 0.569249 0.055641 0.130266 -0.116132 0.20645
12.5 0.573348 0.056151 0.131232 -0.119889 0.206109
12.6 0.577293 0.05666 0.132197 -0.123647 0.205769
12.7 0.581237 0.057195 0.13319 -0.12737 0.205048
12.8 0.585182 0.057734 0.134188 -0.131087 0.20427
12.9 0.589126 0.058272 0.135185 -0.134804 0.203492
13 0.59307 0.058836 0.13621 -0.138486 0.20234
13.1 0.596567 0.059404 0.137239 -0.142163 0.201124
13.2 0.59987 0.059972 0.138269 -0.145839 0.199908
13.3 0.603172 0.060565 0.139325 -0.149481 0.198325
13.4 0.606475 0.061162 0.140387 -0.153117 0.196671
13.5 0.609777 0.06176 0.141448 -0.156753 0.195017
13.6 0.61308 0.062381 0.142536 -0.160355 0.193003
13.7 0.615996 0.063008 0.14363 -0.16395 0.190911
13.8 0.618691 0.063635 0.144723 -0.167545 0.188819
13.9 0.621386 0.064286 0.145829 -0.171096 0.186382
14 0.624081 0.064943 0.146938 -0.174637 0.183862
14.1 0.626776 0.0656 0.148048 -0.178178 0.181343
14.2 0.629471 0.066284 0.149056 -0.181584 0.178556
14.3 0.631996 0.066976 0.150038 -0.184956 0.1757
14.4 0.634395 0.067668 0.15102 -0.188327 0.172843
14.5 0.636794 0.068388 0.151875 -0.191544 0.169741
14.6 0.639194 0.069117 0.152694 -0.194716 0.16657
14.7 0.641593 0.069845 0.153512 -0.197889 0.163399
14.8 0.643992 0.070601 0.154207 -0.20091 0.159987
