phase mean FPC1 FPC2 FPC3 FPC4
-0.5 0.007546 9.3e-05 0.00215 0.010739 0.001049
-0.4 0.006619 0.000132 0.00246 0.011106 0.000686
-0.3 0.006309 0.000162 0.002687 0.011328 0.000355
-0.2 0.005999 0.000191 0.002911 0.011546 2.5e-05
-0.1 0.005689 0.000198 0.002964 0.011463 -0.000239
0 0.005379 0.000206 0.003016 0.011379 -0.000503
0.1 0.005069 0.000203 0.002981 0.011144 -0.000733
0.2 0.005396 0.000189 0.002859 0.010755 -0.00093
0.3 0.005729 0.000176 0.002737 0.010367 -0.001127
0.4 0.006063 0.000141 0.002443 0.009678 -0.001258
0.5 0.006397 0.000106 0.002146 0.008984 -0.001388
0.6 0.006731 6e-05 0.001769 0.008161 -0.00148
0.7 0.007669 3e-06 0.001302 0.007193 -0.001531
0.8 0.008646 -5.4e-05 0.000835 0.006225 -0.001582
0.9 0.009623 -0.000137 0.000245 0.005315 -0.00143
1 0.0106 -0.00022 -0.000351 0.004407 -0.001269
1.1 0.011577 -0.000316 -0.000998 0.00357 -0.000997
1.2 0.013126 -0.000427 -0.001709 0.002819 -0.000587
1.3 0.014746 -0.000539 -0.00242 0.002069 -0.000177
1.4 0.016366 -0.000676 -0.003239 0.001465 0.000466
1.5 0.017986 -0.000815 -0.004066 0.000872 0.001126
1.6 0.019606 -0.000965 -0.004942 0.000345 0.001891
1.7 0.021765 -0.001132 -0.005885 -9.1e-05 0.0028
1.8 0.024028 -0.001299 -0.006828 -0.000527 0.003709
1.9 0.02629 -0.001491 -0.007876 -0.00082 0.004845
2 0.028553 -0.001685 -0.008934 -0.001099 0.006004
2.1 0.030815 -0.00189 -0.010039 -0.001316 0.007261
2.2 0.033584 -0.002112 -0.011214 -0.001438 0.00867
2.3 0.036489 -0.002335 -0.012388 -0.001559 0.010078
2.4 0.039394 -0.002581 -0.013665 -0.001542 0.011707
2.5 0.042299 -0.002831 -0.014956 -0.001506 0.013365
2.6 0.045204 -0.003091 -0.016289 -0.001412 0.015116
2.7 0.048583 -0.003369 -0.017695 -0.00122 0.017023
2.8 0.052131 -0.003646 -0.019102 -0.001027 0.018931
2.9 0.055678 -0.003947 -0.020608 -0.000699 0.021053
3 0.059225 -0.004253 -0.02213 -0.000349 0.02321
3.1 0.062773 -0.004567 -0.023692 5.5e-05 0.025453
3.2 0.066762 -0.0049 -0.02533 0.000563 0.02786
3.3 0.070952 -0.005233 -0.026968 0.00107 0.030267
3.4 0.075141 -0.005589 -0.028703 0.001708 0.032882
3.5 0.079331 -0.00595 -0.030457 0.002372 0.035538
3.6 0.083521 -0.00632 -0.032248 0.003087 0.038274
3.7 0.08812 -0.006708 -0.034118 0.003909 0.04118
3.8 0.092952 -0.007096 -0.035987 0.00473 0.044086
3.9 0.097785 -0.007507 -0.037951 0.005679 0.047194
4 0.102617 -0.007923 -0.039937 0.006658 0.050349
4.1 0.107449 -0.008347 -0.041956 0.007682 0.053578
4.2 0.112592 -0.008791 -0.044056 0.008814 0.056981
4.3 0.117953 -0.009235 -0.046156 0.009945 0.060384
4.4 0.123314 -0.009696 -0.048294 0.011041 0.06392
4.5 0.128675 -0.010162 -0.050441 0.012127 0.067491
4.6 0.134036 -0.010633 -0.05259 0.013168 0.071095
4.7 0.139514 -0.011119 -0.054745 0.014088 0.074787
4.8 0.145093 -0.011605 -0.0569 0.015008 0.078479
4.9 0.150672 -0.012105 -0.05906 0.015803 0.082263
5 0.156251 -0.01261 -0.061222 0.016558 0.086076
5.1 0.16183 -0.01312 -0.063385 0.017273 0.089918
5.2 0.167505 -0.013645 -0.065554 0.017863 0.093851
5.3 0.173283 -0.01417 -0.067723 0.018452 0.097784
5.4 0.179061 -0.014709 -0.069897 0.018921 0.101806
5.5 0.184839 -0.015253 -0.072074 0.019345 0.10586
5.6 0.190617 -0.015801 -0.074251 0.019733 0.10994
5.7 0.196481 -0.016365 -0.076435 0.019992 0.114115
5.8 0.202458 -0.016928 -0.078618 0.020252 0.118289
5.9 0.208435 -0.017506 -0.080807 0.020394 0.122549
6 0.214412 -0.018089 -0.082997 0.020488 0.126844
6.1 0.220389 -0.018676 -0.085189 0.020549 0.131162
6.2 0.226442 -0.019278 -0.087387 0.020478 0.135578
6.3 0.232618 -0.019881 -0.089585 0.020406 0.139993
6.4 0.238794 -0.020497 -0.091788 0.020222 0.144491
6.5 0.24497 -0.021119 -0.093993 0.019985 0.149027
6.6 0.251146 -0.021744 -0.096199 0.01972 0.153584
6.7 0.257389 -0.022386 -0.098411 0.019318 0.15824
