phase mean FPC1 FPC2 FPC3 FPC4
0.2 0.00819 0.000272 -0.008146 0.00894 0.000754
0.3 0.008313 0.000258 -0.008404 0.009892 9e-05
0.4 0.008895 0.000291 -0.008485 0.010758 -0.000506
0.5 0.009491 0.000324 -0.008566 0.011623 -0.001102
0.6 0.010088 4e-04 -0.008486 0.012409 -0.001636
0.7 0.010685 0.000525 -0.008223 0.013105 -0.0021
0.8 0.011281 0.00065 -0.007961 0.013801 -0.002565
0.9 0.011878 0.000817 -0.007541 0.01442 -0.002968
1 0.012906 0.001034 -0.006935 0.014946 -0.003301
1.1 0.013977 0.001251 -0.006329 0.015473 -0.003633
1.2 0.015048 0.001509 -0.005571 0.015925 -0.003907
1.3 0.016119 0.001818 -0.004621 0.016282 -0.004107
1.4 0.01719 0.002127 -0.003671 0.016639 -0.004308
1.5 0.018262 0.002475 -0.002574 0.016924 -0.004451
1.6 0.019734 0.002876 -0.001281 0.017112 -0.00452
1.7 0.021278 0.003277 1.3e-05 0.017299 -0.004588
1.8 0.022823 0.003716 0.001445 0.017419 -0.004602
1.9 0.024367 0.004208 0.003076 0.017442 -0.004539
2 0.025911 0.0047 0.004706 0.017465 -0.004475
2.1 0.027455 0.005222 0.006393 0.017476 -0.004363
2.2 0.029339 0.005786 0.008163 0.017468 -0.004175
2.3 0.031314 0.006351 0.009934 0.01746 -0.003987
2.4 0.033289 0.006941 0.011721 0.017465 -0.003752
2.5 0.035263 0.007569 0.013535 0.017492 -0.003443
2.6 0.037238 0.008197 0.015349 0.017519 -0.003134
2.7 0.039213 0.008849 0.017179 0.017559 -0.00278
2.8 0.041486 0.00954 0.019036 0.01762 -0.00235
2.9 0.04387 0.010232 0.020893 0.017682 -0.00192
3 0.046255 0.010946 0.022765 0.017756 -0.001447
3.1 0.04864 0.011701 0.024665 0.017853 -0.000896
3.2 0.051024 0.012456 0.026565 0.01795 -0.000344
3.3 0.053409 0.013232 0.02848 0.018059 0.000248
3.4 0.056067 0.014051 0.030423 0.018191 0.000921
3.5 0.058862 0.014869 0.032366 0.018323 0.001593
3.6 0.061656 0.015708 0.034323 0.018466 0.002305
3.7 0.064451 0.016589 0.036309 0.018633 0.003098
3.8 0.067246 0.017471 0.038296 0.0188 0.003892
3.9 0.070041 0.018372 0.040295 0.018977 0.004723
4 0.073084 0.019317 0.042325 0.019179 0.005638
4.1 0.076288 0.020262 0.044354 0.019381 0.006553
4.2 0.079493 0.021225 0.046396 0.019593 0.007503
4.3 0.082697 0.022234 0.048468 0.01983 0.008539
4.4 0.085902 0.023242 0.050541 0.020067 0.009575
4.5 0.089106 0.024268 0.052625 0.020313 0.010644
4.6 0.092534 0.02534 0.054741 0.020585 0.011801
4.7 0.096149 0.026411 0.056856 0.020857 0.012959
4.8 0.099763 0.0275 0.058983 0.021138 0.014147
4.9 0.103377 0.028635 0.061142 0.021445 0.015426
5 0.106992 0.02977 0.0633 0.021751 0.016704
5.1 0.110606 0.03092 0.065469 0.022067 0.018012
5.2 0.114419 0.032119 0.067671 0.022409 0.019412
5.3 0.118443 0.033317 0.069873 0.022751 0.020811
5.4 0.122467 0.03453 0.072085 0.023101 0.022239
5.5 0.126491 0.035792 0.074329 0.023477 0.023759
5.6 0.130515 0.037054 0.076574 0.023854 0.02528
5.7 0.13454 0.038329 0.078828 0.024239 0.026827
5.8 0.138731 0.039654 0.081116 0.02465 0.028468
5.9 0.143149 0.040979 0.083404 0.025062 0.03011
6 0.147567 0.042307 0.085687 0.025482 0.031766
6.1 0.151984 0.043644 0.087952 0.025931 0.03348
6.2 0.156402 0.044981 0.090217 0.026381 0.035193
6.3 0.16082 0.046309 0.092461 0.026839 0.036908
6.4 0.165358 0.047593 0.094618 0.02733 0.03863
6.5 0.170105 0.048877 0.096774 0.027821 0.040352
6.6 0.174851 0.050151 0.098912 0.02832 0.042076
6.7 0.179598 0.051381 0.100959 0.028853 0.043806
6.8 0.184345 0.052612 0.103007 0.029386 0.045536
6.9 0.189092 0.053833 0.105037 0.029925 0.047267
7 0.193936 0.05501 0.106976 0.0305 0.049005
7.1 0.199005 0.056186 0.108915 0.031074 0.050743
7.2 0.204073 0.057355 0.110838 0.031655 0.052482
7.3 0.209142 0.058477 0.112668 0.032271 0.054228
7.4 0.21421 0.0596 0.114498 0.032887 0.055974
7.5 0.219279 0.060716 0.116315 0.033509 0.057721
7.6 0.224425 0.061785 0.118036 0.034166 0.059475
7.7 0.229815 0.062854 0.119757 0.034824 0.061229
7.8 0.235206 0.063916 0.121466 0.035487 0.062984
7.9 0.240596 0.064932 0.123078 0.036186 0.064747
8 0.245986 0.065947 0.124691 0.036886 0.066509
8.1 0.251376 0.066957 0.126293 0.037589 0.068272
8.2 0.256825 0.067918 0.127796 0.03833 0.070042
8.3 0.262537 0.068879 0.1293 0.039071 0.071812
8.4 0.268249 0.069836 0.130795 0.039816 0.073583
8.5 0.273961 0.070744 0.13219 0.040599 0.075361
8.6 0.279673 0.071651 0.133584 0.041381 0.07714
8.7 0.285385 0.072555 0.134972 0.042167 0.078918
8.8 0.291136 0.073409 0.136258 0.042991 0.080705
8.9 0.29717 0.074263 0.137544 0.043816 0.082491
9 0.303203 0.075114 0.138825 0.044642 0.084278
9.1 0.309237 0.075914 0.140002 0.045508 0.086072
9.2 0.315271 0.076714 0.141179 0.046374 0.087866
9.3 0.321304 0.077512 0.142352 0.047242 0.089661
9.4 0.327358 0.078258 0.143421 0.048149 0.091464
9.5 0.333713 0.079004 0.144489 0.049057 0.093266
9.6 0.340068 0.07975 0.145555 0.049965 0.095068
9.7 0.346424 0.080442 0.146515 0.050915 0.096879
9.8 0.352779 0.081134 0.147474 0.051864 0.098689
9.9 0.359135 0.081827 0.148434 0.052814 0.1005
10 0.36549 0.08248 0.1493 0.053807 0.102298
10.1 0.3719 0.083134 0.150166 0.054801 0.104096
10.2 0.37831 0.083788 0.151033 0.055794 0.105894
10.3 0.38472 0.08445 0.151856 0.05684 0.107616
10.4 0.39113 0.085112 0.152678 0.057886 0.109337
10.5 0.39754 0.085774 0.1535 0.058933 0.111059
10.6 0.40395 0.086448 0.154284 0.060031 0.1127
10.7 0.410159 0.087123 0.155066 0.061131 0.114339
10.8 0.416357 0.087797 0.155848 0.062231 0.115978
10.9 0.422554 0.088484 0.156592 0.063382 0.117538
11 0.428751 0.089171 0.157334 0.064535 0.119095
11.1 0.434948 0.089858 0.158077 0.065688 0.120652
11.2 0.441145 0.090556 0.158781 0.066892 0.122132
11.3 0.447155 0.091256 0.159484 0.068098 0.123607
11.4 0.453139 0.091955 0.160186 0.069305 0.125081
11.5 0.459123 0.092666 0.160851 0.070561 0.12648
11.6 0.465107 0.093377 0.161514 0.071821 0.127872
11.7 0.471091 0.094089 0.162176 0.073081 0.129265
11.8 0.477076 0.094812 0.162802 0.07439 0.130583
11.9 0.482886 0.095536 0.163424 0.075704 0.131893
12 0.488657 0.09626 0.164047 0.077017 0.133204
12.1 0.494428 0.096996 0.164633 0.078379 0.13444
12.2 0.5002 0.097732 0.165216 0.079746 0.135669
12.3 0.505971 0.098469 0.165798 0.081112 0.136897
12.4 0.511742 0.099216 0.166345 0.082527 0.138053
12.5 0.517352 0.099965 0.166888 0.083947 0.139199
12.6 0.522911 0.100714 0.16743 0.085367 0.140345
12.7 0.528469 0.101473 0.167938 0.086834 0.14142
12.8 0.534028 0.102235 0.16844 0.088308 0.142484
12.9 0.539586 0.102996 0.168943 0.089782 0.143548
13 0.545145 0.103768 0.169411 0.091301 0.144541
13.1 0.550555 0.104542 0.169873 0.092828 0.145523
13.2 0.555901 0.105315 0.170336 0.094356 0.146505
13.3 0.561246 0.106099 0.170765 0.095928 0.147418
13.4 0.566592 0.106885 0.171187 0.097508 0.148318
13.5 0.571937 0.107671 0.17161 0.099089 0.149217
13.6 0.577283 0.108468 0.171999 0.100714 0.150049
13.7 0.5825 0.109266 0.172382 0.102348 0.150867
13.8 0.587643 0.110065 0.172764 0.103982 0.151684
13.9 0.592786 0.110871 0.173117 0.105646 0.152418
14 0.597929 0.111679 0.173463 0.107316 0.153132
14.1 0.603072 0.112487 0.173808 0.108987 0.153846
14.2 0.608215 0.113284 0.174145 0.110572 0.154333
